"","X","OPE.ID","School","State","Zip.Code","School.Type","Subsidized.Recipients","Subsidized.Num.of.Loans.Originated","Subsidized.Dollars.of.Loans.Originated","Subsidized.Num.of.Disbursements","Subsidized.Dollars.of.Disbursements","Unsubsidized.Undergrad.Recipients","Unsubsidized.Undergrad.Num.of.Loans.Originated","Unsubsidized.Undergrad.Dollars.of.Loans.Originated","Unsubsidized.Undergrad.Num.of.Disbursements","Unsubsidized.Undergrad.Dollars.of.Disbursements","Unsubsidized.Graduate.Recipients","Unsubsidized.Graduate.Num.of.Loans.Originated","Unsubsidized.Graduate.Dollars.of.Loans.Originated","Unsubsidized.Graduate.Num.of.Disbursements","Unsubsidized.Graduate.Dollars.of.Disbursements","Parent.Plus.Recipients","Parent.Plus.Num.of.Loans.Originated","Parent.Plus.Dollars.of.Loans.Originated","Parent.Plus.Num.of.Disbursements","Parent.Plus.Dollars.of.Disbursements","Grad.Plus.Recipients","Grad.Plus.Num.of.Loans.Originated","Grad.Plus.Dollars.of.Loans.Originated","Grad.Plus.Num.of.Disbursements","Grad.Plus.Dollars.of.Disbursements"
"1",1,100200,"ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","357621357","Public",1901,1914,8102120,1914,4054082,1811,1880,6123582,1880,3065251,496,506,8809479,506,4414315,497,501,7397184,501,3692864,91,93,765529,93,382980
"2",2,100300,"FAULKNER UNIVERSITY","AL","361093398","Private-Nonprofit",844,845,2929270,877,1397030,900,945,2852642,975,1301440,478,485,5848146,512,2982095,121,122,1262554,122,629652,156,162,3234170,162,1617085
"3",3,100400,"UNIVERSITY OF MONTEVALLO","AL","351156000","Public",908,919,3799537,919,1902996,1031,1094,4093314,1094,2048670,194,209,3197604,209,1602301,203,213,2644507,213,1322283,12,12,108294,12,54147
"4",4,100500,"ALABAMA STATE UNIVERSITY","AL","361045714","Public",1048,1048,4553710,1065,2325766,1028,1088,3400026,1105,1747168,250,250,4847228,259,2497743,214,214,2618510,231,1370618,115,115,1227793,115,619431
"5",5,100700,"CENTRAL ALABAMA COMMUNITY COLLEGE","AL","350100000","Public",151,151,526106,175,268520,65,71,222844,77,112300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,100800,"ATHENS STATE UNIVERSITY","AL","356111999","Public",889,889,3783375,889,2015819,834,834,5442148,834,2775820,88,88,1477054,88,732699,19,19,122093,19,62308,NA,NA,NA,NA,NA
"7",7,100900,"AUBURN UNIVERSITY","AL","368495113","Public",4504,4504,19474542,4535,10142490,5365,5365,20691872,5421,10757338,1646,1646,41192837,1685,20653012,1437,1450,39846548,1455,20670182,333,339,7273151,341,3758596
"8",8,101200,"BIRMINGHAM-SOUTHERN COLLEGE","AL","352540002","Private-Nonprofit",337,337,1466641,337,740186,451,471,1793853,471,901752,NA,NA,NA,NA,NA,153,158,2698301,158,1379594,NA,NA,NA,NA,NA
"9",9,101300,"CALHOUN COMMUNITY COLLEGE","AL","356710000","Public",873,873,3108328,1073,1548915,970,972,4330439,1219,2130995,NA,NA,NA,NA,NA,4,4,21696,4,10848,NA,NA,NA,NA,NA
"10",10,101500,"ENTERPRISE STATE COMMUNITY COLLEGE","AL","363311300","Public",197,198,689010,198,345883,205,217,829401,217,416233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
