OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,"1,901","1,914","$8,102,120.00 ","1,914","$4,054,082.00 ","1,811","1,880","$6,123,582.00 ","1,880","$3,065,251.00 ",496,506,"$8,809,479.00 ",506,"$4,414,315.00 ",497,501,"$7,397,184.00 ",501,"$3,692,864.00 ",91,93,"$765,529.00 ",93,"$382,980.00 "
100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,844,845,"$2,929,270.00 ",877,"$1,397,030.00 ",900,945,"$2,852,642.00 ",975,"$1,301,440.00 ",478,485,"$5,848,146.00 ",512,"$2,982,095.00 ",121,122,"$1,262,554.00 ",122,"$629,652.00 ",156,162,"$3,234,170.00 ",162,"$1,617,085.00 "
100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,908,919,"$3,799,537.00 ",919,"$1,902,996.00 ","1,031","1,094","$4,093,314.00 ","1,094","$2,048,670.00 ",194,209,"$3,197,604.00 ",209,"$1,602,301.00 ",203,213,"$2,644,507.00 ",213,"$1,322,283.00 ",12,12,"$108,294.00 ",12,"$54,147.00 "
100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,"1,048","1,048","$4,553,710.00 ","1,065","$2,325,766.00 ","1,028","1,088","$3,400,026.00 ","1,105","$1,747,168.00 ",250,250,"$4,847,228.00 ",259,"$2,497,743.00 ",214,214,"$2,618,510.00 ",231,"$1,370,618.00 ",115,115,"$1,227,793.00 ",115,"$619,431.00 "
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,151,151,"$526,106.00 ",175,"$268,520.00 ",65,71,"$222,844.00 ",77,"$112,300.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,889,889,"$3,783,375.00 ",889,"$2,015,819.00 ",834,834,"$5,442,148.00 ",834,"$2,775,820.00 ",88,88,"$1,477,054.00 ",88,"$732,699.00 ",19,19,"$122,093.00 ",19,"$62,308.00 ",-,-, -,-, -
100900,AUBURN UNIVERSITY,AL,368495113,Public,"4,504","4,504","$19,474,542.00 ","4,535","$10,142,490.00 ","5,365","5,365","$20,691,872.00 ","5,421","$10,757,338.00 ","1,646","1,646","$41,192,837.00 ","1,685","$20,653,012.00 ","1,437","1,450","$39,846,548.00 ","1,455","$20,670,182.00 ",333,339,"$7,273,151.00 ",341,"$3,758,596.00 "
101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,337,337,"$1,466,641.00 ",337,"$740,186.00 ",451,471,"$1,793,853.00 ",471,"$901,752.00 ",-,-, -,-, -,153,158,"$2,698,301.00 ",158,"$1,379,594.00 ",-,-, -,-, -
101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,873,873,"$3,108,328.00 ","1,073","$1,548,915.00 ",970,972,"$4,330,439.00 ","1,219","$2,130,995.00 ",-,-, -,-, -,4,4,"$21,696.00 ",4,"$10,848.00 ",-,-, -,-, -
101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,197,198,"$689,010.00 ",198,"$345,883.00 ",205,217,"$829,401.00 ",217,"$416,233.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,"1,918","1,918","$8,105,569.00 ","1,919","$4,115,823.00 ","1,971","2,047","$8,032,453.00 ","2,048","$4,067,954.00 ",761,761,"$11,763,086.00 ",766,"$6,125,542.00 ",328,328,"$4,062,564.00 ",328,"$2,054,007.00 ",10,10,"$104,017.00 ",10,"$56,876.00 "
101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,463,463,"$1,982,166.00 ",463,"$984,966.00 ",570,599,"$2,166,163.00 ",599,"$1,058,919.00 ",-,-, -,-, -,189,189,"$2,682,061.00 ",189,"$1,423,067.00 ",-,-, -,-, -
102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,"2,894","2,895","$12,057,276.00 ","2,895","$6,150,665.00 ","3,004","3,143","$12,358,542.00 ","3,143","$6,330,285.00 ",691,691,"$11,148,948.00 ",691,"$5,614,450.00 ",500,500,"$5,251,474.00 ",500,"$2,703,338.00 ",3,3,"$35,848.00 ",3,"$19,924.00 "
102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,"1,281","1,283","$4,735,243.00 ","1,283","$2,371,545.00 ",372,384,"$1,230,196.00 ",384,"$614,765.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
102300,JUDSON COLLEGE,AL,367562504,Private-Nonprofit,124,124,"$423,180.00 ",155,"$242,081.00 ",124,129,"$339,052.00 ",151,"$189,776.00 ",-,-, -,-, -,17,17,"$116,427.00 ",22,"$63,169.00 ",-,-, -,-, -
102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,"1,085","1,098","$4,552,993.00 ","1,098","$2,306,439.00 ","1,030","1,107","$4,573,984.00 ","1,107","$2,311,593.00 ","1,820","1,848","$30,951,831.00 ","1,848","$11,493,187.00 ",199,206,"$2,731,449.00 ",206,"$1,382,187.00 ",87,88,"$2,080,010.00 ",88,"$750,753.00 "
102600,MARION MILITARY INSTITUTE,AL,367563214,Public,57,57,"$192,593.00 ",57,"$99,173.00 ",77,77,"$264,725.00 ",77,"$135,988.00 ",-,-, -,-, -,7,7,"$42,876.00 ",8,"$27,323.00 ",-,-, -,-, -
102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,777,777,"$3,308,769.00 ",777,"$1,656,795.00 ",780,914,"$2,958,740.00 ",914,"$1,450,052.00 ",-,-, -,-, -,185,186,"$1,502,122.00 ",186,"$727,847.00 ",-,-, -,-, -
102900,UNIVERSITY OF MOBILE,AL,366630220,Private-Nonprofit,539,539,"$2,239,325.00 ",579,"$1,189,690.00 ",599,627,"$2,253,843.00 ",666,"$1,211,260.00 ",126,126,"$1,612,296.00 ",144,"$1,043,328.00 ",125,126,"$1,959,086.00 ",132,"$996,804.00 ",14,14,"$89,172.00 ",20,"$84,712.00 "
103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,Public,267,271,"$936,815.00 ",271,"$471,749.00 ",76,89,"$273,859.00 ",89,"$136,939.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
103300,OAKWOOD UNIVERSITY,AL,358960001,Private-Nonprofit,300,300,"$1,377,700.00 ",301,"$677,819.00 ",319,327,"$1,196,839.00 ",328,"$576,074.00 ",17,17,"$348,500.00 ",17,"$174,250.00 ",27,27,"$447,319.00 ",27,"$225,390.00 ",2,2,"$41,000.00 ",2,"$20,500.00 "
103600,SAMFORD UNIVERSITY,AL,352297000,Private-Nonprofit,638,638,"$2,725,011.00 ",638,"$1,412,105.00 ",892,892,"$3,522,606.00 ",892,"$1,833,389.00 ","1,287","1,287","$27,610,492.00 ","1,287","$14,818,135.00 ",332,348,"$7,066,192.00 ",348,"$3,658,119.00 ",942,948,"$16,058,202.00 ",948,"$8,613,848.00 "
